"","asd_desc","agg_level_desc","year","crop","info","class_desc","domain_desc","unit_desc","commodity_desc","value"
"1","","NATIONAL",1990,"BARLEY ","ACRES HARVESTED","ALL CLASSES","TOTAL","ACRES","BARLEY",NA
"2","","NATIONAL",1990,"BARLEY ","PRICE RECEIVED, MEASURED IN $ / BU","ALL CLASSES","TOTAL","$ / BU","BARLEY",2.14
"3","","NATIONAL",1990,"BARLEY ","YIELD, MEASURED IN BU / ACRE","ALL CLASSES","TOTAL","BU / ACRE","BARLEY",56.1
"4","","NATIONAL",1990,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) ","PRICE RECEIVED, MEASURED IN $ / CWT","DRY EDIBLE, (EXCL CHICKPEAS)","TOTAL","$ / CWT","BEANS",18.5
"5","","NATIONAL",1990,"BEANS, DRY EDIBLE, BLACK ","ACRES HARVESTED","DRY EDIBLE, BLACK","TOTAL","ACRES","BEANS",60800
"6","","NATIONAL",1990,"BEANS, DRY EDIBLE, BLACK ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, BLACK","TOTAL","LB / ACRE","BEANS",1796
"7","","NATIONAL",1990,"BEANS, DRY EDIBLE, BLACKEYE ","ACRES HARVESTED","DRY EDIBLE, BLACKEYE","TOTAL","ACRES","BEANS",51000
"8","","NATIONAL",1990,"BEANS, DRY EDIBLE, BLACKEYE ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, BLACKEYE","TOTAL","LB / ACRE","BEANS",1835
"9","","NATIONAL",1990,"BEANS, DRY EDIBLE, CRANBERRY ","ACRES HARVESTED","DRY EDIBLE, CRANBERRY","TOTAL","ACRES","BEANS",17000
"10","","NATIONAL",1990,"BEANS, DRY EDIBLE, CRANBERRY ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, CRANBERRY","TOTAL","LB / ACRE","BEANS",1940
"11","","NATIONAL",1990,"BEANS, DRY EDIBLE, DARK, RED, KIDNEY ","ACRES HARVESTED","DRY EDIBLE, DARK, RED, KIDNEY","TOTAL","ACRES","BEANS",62600
"12","","NATIONAL",1990,"BEANS, DRY EDIBLE, DARK, RED, KIDNEY ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, DARK, RED, KIDNEY","TOTAL","LB / ACRE","BEANS",1752
"13","","NATIONAL",1990,"BEANS, DRY EDIBLE, GREAT NORTHERN ","ACRES HARVESTED","DRY EDIBLE, GREAT NORTHERN","TOTAL","ACRES","BEANS",134900
"14","","NATIONAL",1990,"BEANS, DRY EDIBLE, GREAT NORTHERN ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, GREAT NORTHERN","TOTAL","LB / ACRE","BEANS",2092
"15","","NATIONAL",1990,"BEANS, DRY EDIBLE, INCL CHICKPEAS ","ACRES HARVESTED","DRY EDIBLE, INCL CHICKPEAS","TOTAL","ACRES","BEANS",NA
"16","","NATIONAL",1990,"BEANS, DRY EDIBLE, INCL CHICKPEAS ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, INCL CHICKPEAS","TOTAL","LB / ACRE","BEANS",1553
"17","","NATIONAL",1990,"BEANS, DRY EDIBLE, LIGHT, RED, KIDNEY ","ACRES HARVESTED","DRY EDIBLE, LIGHT, RED, KIDNEY","TOTAL","ACRES","BEANS",73600
"18","","NATIONAL",1990,"BEANS, DRY EDIBLE, LIGHT, RED, KIDNEY ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, LIGHT, RED, KIDNEY","TOTAL","LB / ACRE","BEANS",1694
"19","","NATIONAL",1990,"BEANS, DRY EDIBLE, LIMA, BABY ","ACRES HARVESTED","DRY EDIBLE, LIMA, BABY","TOTAL","ACRES","BEANS",25000
"20","","NATIONAL",1990,"BEANS, DRY EDIBLE, LIMA, BABY ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, LIMA, BABY","TOTAL","LB / ACRE","BEANS",2280
"21","","NATIONAL",1990,"BEANS, DRY EDIBLE, LIMA, LARGE ","ACRES HARVESTED","DRY EDIBLE, LIMA, LARGE","TOTAL","ACRES","BEANS",23000
